一		一
　		猫である
吾輩は		猫である
猫である	　,吾輩は	猫である
名前は		無い
まだ		無い
無い	名前は,まだ	無い
　どこで		生れたか
生れたか	　どこで	つかぬ
とんと		つかぬ
見当が		つかぬ
つかぬ	生れたか,とんと,見当が	つかぬ
何でも		薄暗い
薄暗い	何でも	所で
じめじめした		所で
所で	薄暗い,じめじめした	泣いて
ニャーニャー		泣いて
泣いて	所で,ニャーニャー	記憶している
いた事だけは		記憶している
記憶している	泣いて,いた事だけは	記憶している
吾輩は		見た
ここで		始めて
始めて	ここで	人間という
人間という	始めて	ものを
ものを	人間という	見た
見た	吾輩は,ものを	見た
しかも		種族であったそうだ
あとで		聞くと
聞くと	あとで	種族であったそうだ
それは		種族であったそうだ
書生という		人間中で
人間中で	書生という	種族であったそうだ
一番		獰悪な
獰悪な	一番	種族であったそうだ
種族であったそうだ	しかも,聞くと,それは,人間中で,獰悪な	種族であったそうだ
この		書生というのは
書生というのは	この	話である
時々		捕えて
我々を		捕えて
捕えて	時々,我々を	煮て
煮て	捕えて	食うという
食うという	煮て	話である
話である	書生というのは,食うという	話である
しかし		思わなかった
その		当時は
当時は	その	なかったから
何という		考も
考も	何という	なかったから
なかったから	当時は,考も	思わなかった
別段		恐し
恐し	別段	思わなかった
いとも		思わなかった
思わなかった	しかし,なかったから,恐し,いとも	思わなかった
ただ		載せられて
彼の		掌に
掌に	彼の	載せられて
載せられて	ただ,掌に	持ち上げられた
スーと		持ち上げられた
持ち上げられた	載せられて,スーと	時
時	持ち上げられた	フワフワした
何だか		フワフワした
フワフワした	時,何だか	感じが
感じが	フワフワした	あったばかりである
あったばかりである	感じが	あったばかりである
掌の		上で
上で	掌の	落ちついて
少し		落ちついて
落ちついて	上で,少し	見たのが
書生の		顔を
顔を	書生の	見たのが
見たのが	落ちついて,顔を	人間という
いわゆる		人間という
人間という	見たのが,いわゆる	ものの
ものの	人間という	見始であろう
見始であろう	ものの	見始であろう
この		時
時	この	ものだと
妙な		ものだと
ものだと	時,妙な	思った
思った	ものだと	感じが
感じが	思った	残っている
今でも		残っている
残っている	感じが,今でも	残っている
第一毛をもって		装飾されべきはずの
装飾されべきはずの	第一毛をもって	顔が
顔が	装飾されべきはずの	つるつるして
つるつるして	顔が	薬缶だ
まるで		薬缶だ
薬缶だ	つるつるして,まるで	薬缶だ
その後		逢ったが
猫にも		逢ったが
だいぶ		逢ったが
逢ったが	その後,猫にも,だいぶ	ない
こんな		片輪には
片輪には	こんな	ない
一度も		出会わした
出会わした	一度も	事が
事が	出会わした	ない
ない	逢ったが,片輪には,事が	ない
のみならず		突起している
顔の		真中が
真中が	顔の	突起している
あまりに		突起している
突起している	のみならず,真中が,あまりに	突起している
そうして		吹く
その穴の		中から
中から	その穴の	吹く
時々		吹く
ぷうぷうと煙を		吹く
吹く	そうして,中から,時々,ぷうぷうと煙を	吹く
どうも		咽せぽくて
咽せぽくて	どうも	弱った
実に		弱った
弱った	咽せぽくて,実に	弱った
これが		ものである
人間の		飲む
飲む	人間の	煙草という
煙草という	飲む	ものである
ものである	これが,煙草という	事は
事は	ものである	知った
ようやく		知った
この		頃
頃	この	知った
知った	事は,ようやく,頃	知った
　		おったが
この		書生の
書生の	この	掌の
掌の	書生の	裏で
裏で	掌の	坐って
しばらくは		よい
よい	しばらくは	心持に
心持に	よい	坐って
坐って	裏で,心持に	おったが
おったが	　,坐って	運転し始めた
しばらく		すると
すると	しばらく	運転し始めた
非常な		速力で
速力で	非常な	運転し始めた
運転し始めた	おったが,すると,速力で	運転し始めた
書生が		動くのか
動くのか	書生が	動くのか
自分だけが		動くのか
動くのか	動くのか,自分だけが	分らないが
分らないが	動くのか	廻る
無暗に		廻る
眼が		廻る
廻る	分らないが,無暗に,眼が	廻る
胸が		悪くなる
悪くなる	胸が	悪くなる
到底		助からないと
助からないと	到底	思っていると
思っていると	助からないと	出た
どさりと		して
音が		して
して	どさりと,音が	出た
眼から		出た
火が		出た
出た	思っていると,して,眼から,火が	出た
それまでは		記憶しているが
記憶しているが	それまでは	分らない
あとは		分らない
何の		事やら
事やら	何の	分らない
いくら		考え出そうとしても
考え出そうとしても	いくら	分らない
分らない	記憶しているが,あとは,事やら,考え出そうとしても	分らない
　		いない
ふと		付いて
気が		付いて
付いて	ふと,気が	見ると
見ると	付いて	いない
書生は		いない
いない	　,見ると,書生は	いない
たくさん		おった
おった	たくさん	兄弟が
兄弟が	おった	見えぬ
一疋も		見えぬ
見えぬ	兄弟が,一疋も	見えぬ
肝心の		母親さえ
母親さえ	肝心の	隠してしまった
姿を		隠してしまった
隠してしまった	母親さえ,姿を	隠してしまった
その		上今までの
上今までの	その	所とは
所とは	上今までの	違って
違って	所とは	明るい
無暗に		明るい
明るい	違って,無暗に	明るい
眼を		明いていられぬくらいだ
明いていられぬくらいだ	眼を	明いていられぬくらいだ
はてな		痛い
何でも		おかしいと
容子が		おかしいと
おかしいと	何でも,容子が	痛い
のそのそ		這い出して
這い出して	のそのそ	見ると
見ると	這い出して	痛い
非常に		痛い
痛い	はてな,おかしいと,見ると,非常に	痛い
吾輩は		棄てられたのである
藁の		上から
上から	藁の	棄てられたのである
急に		棄てられたのである
笹原の		中へ
中へ	笹原の	棄てられたのである
棄てられたのである	吾輩は,上から,急に,中へ	棄てられたのである
　		ある
ようやくの		思いで
思いで	ようやくの	這い出すと
笹原を		這い出すと
這い出すと	思いで,笹原を	ある
向うに		ある
大きな		池が
池が	大きな	ある
ある	　,這い出すと,向うに,池が	ある
吾輩は		見た
池の		前に
前に	池の	坐って
坐って	前に	したら
どう		したら
したら	坐って,どう	よかろうと
よかろうと	したら	考えて
考えて	よかろうと	見た
見た	吾輩は,考えて	見た
別に		出ない
これという		分別も
分別も	これという	出ない
出ない	別に,分別も	出ない
しばらく		して
して	しばらく	泣いたら
泣いたら	して	来てくれるかと
書生がまた		来てくれるかと
迎に		来てくれるかと
来てくれるかと	泣いたら,書生がまた,迎に	考え付いた
考え付いた	来てくれるかと	考え付いた
ニャー		ニャーと
ニャーと	ニャー	試みに
試みに	ニャーと	やって
やって	試みに	見たが
見たが	やって	来ない
誰も		来ない
来ない	見たが,誰も	来ない
そのうち		渡って
池の		上を
上を	池の	渡って
さらさらと		渡って
風が		渡って
渡って	そのうち,上を,さらさらと,風が	かかる
日が		かかる
暮れ		かかる
かかる	渡って,日が,暮れ	かかる
腹が		減って来た
非常に		減って来た
減って来た	腹が,非常に	減って来た
泣きたくても		出ない
声が		出ない
出ない	泣きたくても,声が	出ない
仕方が		ない
ない	仕方が	廻り始めた
何でも		廻り始めた
よいから		所まで
食物の		ある
ある	食物の	所まで
所まで	よいから,ある	ある
ある	所まで	廻り始めた
こうと		して
決心を		して
して	こうと,決心を	そろり
そろり	して	廻り始めた
そろりと		廻り始めた
池を		廻り始めた
左りに		廻り始めた
廻り始めた	ない,何でも,ある,そろり,そろりと,池を,左りに	廻り始めた
どうも		苦しい
非常に		苦しい
苦しい	どうも,非常に	苦しい
そこを		我慢して
我慢して	そこを	這って行くと
無理やりに		這って行くと
這って行くと	我慢して,無理やりに	出た
ようやくの		事で
事で	ようやくの	出た
何となく		人間臭い
人間臭い	何となく	所へ
所へ	人間臭い	出た
出た	這って行くと,事で,所へ	出た
ここへ		這入ったら
這入ったら	ここへ	なると
どうにか		なると
なると	這入ったら,どうにか	思って
思って	なると	もぐり込んだ
竹垣の		崩れた
崩れた	竹垣の	穴から
穴から	崩れた	もぐり込んだ
とある		邸内に
邸内に	とある	もぐり込んだ
もぐり込んだ	思って,穴から,邸内に	もぐり込んだ
縁は		もので
不思議な		もので
もので	縁は,不思議な	餓死したかも知れんのである
もし		破れていなかったなら
この		竹垣が
竹垣が	この	破れていなかったなら
破れていなかったなら	もし,竹垣が	餓死したかも知れんのである
吾輩は		餓死したかも知れんのである
ついに		餓死したかも知れんのである
路傍に		餓死したかも知れんのである
餓死したかも知れんのである	もので,破れていなかったなら,吾輩は,ついに,路傍に	餓死したかも知れんのである
一樹の		蔭とは
蔭とは	一樹の	云った
よく		云った
云った	蔭とは,よく	ものだ
ものだ	云った	ものだ
この		垣根の
垣根の	この	穴は
穴は	垣根の	なっている
今日に		至るまで
至るまで	今日に	訪問する
吾輩が		訪問する
隣家の		三毛を
三毛を	隣家の	訪問する
訪問する	至るまで,吾輩が,三毛を	時の
時の	訪問する	通路に
通路に	時の	なっている
なっている	穴は,通路に	なっている
さて		分らない
邸へは		忍び込んだものの
忍び込んだものの	邸へは	分らない
これから		善いか
先		善いか
どうして		善いか
善いか	これから,先,どうして	分らない
分らない	さて,忍び込んだものの,善いか	分らない
その		うちに
うちに	その	暗くなる
暗くなる	うちに	減る
腹は		減る
減る	暗くなる,腹は	寒し
寒さは		寒し
寒し	減る,寒さは	降って来るという
雨が		降って来るという
降って来るという	寒し,雨が	始末で
始末で	降って来るという	出来なくなった
もう		出来なくなった
一刻の		猶予が
猶予が	一刻の	出来なくなった
出来なくなった	始末で,もう,猶予が	出来なくなった
仕方が		ないから
ないから	仕方が	明るくて
とにかく		明るくて
明るくて	ないから,とにかく	暖かそうな
暖かそうな	明るくて	方へ
方へ	暖かそうな	あるいて行く
方へと		あるいて行く
あるいて行く	方へ,方へと	あるいて行く
今から		考えると
考えると	今から	おったのだ
その		時は
時は	その	おったのだ
すでに		這入って
家の		内に
内に	家の	這入って
這入って	すでに,内に	おったのだ
おったのだ	考えると,時は,這入って	おったのだ
ここで		遭遇したのである
吾輩は		遭遇したのである
彼の		書生以外の
書生以外の	彼の	人間を
人間を	書生以外の	見るべき
再び		見るべき
見るべき	人間を,再び	機会に
機会に	見るべき	遭遇したのである
遭遇したのである	ここで,吾輩は,機会に	遭遇したのである
第一に		逢ったのが
逢ったのが	第一に	おさんである
おさんである	逢ったのが	おさんである
これは		抛り出した
前の		書生より
書生より	前の	見るや
一層		乱暴な
乱暴な	一層	方で
方で	乱暴な	見るや
吾輩を		見るや
見るや	書生より,方で,吾輩を	抛り出した
否やいきなり		つかんで
頸筋を		つかんで
つかんで	否やいきなり,頸筋を	抛り出した
表へ		抛り出した
抛り出した	これは,見るや,つかんで,表へ	抛り出した
いや		思ったから
これは		駄目だと
駄目だと	これは	思ったから
思ったから	いや,駄目だと	任せていた
眼を		ねぶって
ねぶって	眼を	任せていた
運を		任せていた
天に		任せていた
任せていた	思ったから,ねぶって,運を,天に	任せていた
しかし		出来ん
ひもじいのと		寒いのには
寒いのには	ひもじいのと	出来ん
どうしても		出来ん
我慢が		出来ん
出来ん	しかし,寒いのには,どうしても,我慢が	出来ん
吾輩は		這い上った
再び		見て
おさんの		隙を
隙を	おさんの	見て
見て	再び,隙を	這い上った
台所へ		這い上った
這い上った	吾輩は,見て,台所へ	這い上った
すると		投げ出された
間もなくまた		投げ出された
投げ出された	すると,間もなくまた	投げ出された
吾輩は		這い上り
投げ出されては		這い上り
這い上り	吾輩は,投げ出されては	投げ出され
這い上っては		投げ出され
投げ出され	這い上り,這い上っては	記憶している
何でも		繰り返したのを
同じ		事を
事を	同じ	繰り返したのを
四五遍		繰り返したのを
繰り返したのを	何でも,事を,四五遍	記憶している
記憶している	投げ出され,繰り返したのを	記憶している
その		時に
時に	その	云う
おさんと		云う
云う	時に,おさんと	者は
者は	云う	いやになった
つくづく		いやになった
いやになった	者は,つくづく	いやになった
この間		偸んで
おさんの		三馬を
三馬を	おさんの	偸んで
偸んで	この間,三馬を	してやってから
この		返報を
返報を	この	してやってから
してやってから	偸んで,返報を	下りた
やっと		下りた
胸の		痞が
痞が	胸の	下りた
下りた	してやってから,やっと,痞が	下りた
吾輩が		つまみ出されようとした
最後に		つまみ出されようとした
つまみ出されようとした	吾輩が,最後に	ときに
ときに	つまみ出されようとした	出て来た
この		家の
家の	この	主人が
主人が	家の	出て来た
騒々しい		何だと
何だと	騒々しい	いいながら
いいながら	何だと	出て来た
出て来た	ときに,主人が,いいながら	出て来た
下女は		困りますと
吾輩を		ぶら下げて
ぶら下げて	吾輩を	出しても
主人の		方へ
方へ	主人の	向けて
向けて	方へ	出しても
この		宿なしの
宿なしの	この	小猫が
小猫が	宿なしの	出しても
いくら		出しても
出しても	小猫が,いくら	出しても
出しても	ぶら下げて,向けて,出しても	困りますと
御台所へ		上って来て
上って来て	御台所へ	困りますと
困りますと	下女は,出しても,上って来て	いう
いう	困りますと	いう
主人は		おったが
鼻の		下の
下の	鼻の	黒い
黒い	下の	毛を
毛を	黒い	撚りながら
撚りながら	毛を	眺めて
吾輩の		顔を
顔を	吾輩の	眺めて
しばらく		眺めて
眺めて	撚りながら,顔を,しばらく	おったが
おったが	主人は,眺めて	這入ってしまった
やがて		そんなら
そんなら	やがて	置いてやれといったまま
内へ		置いてやれといったまま
置いてやれといったまま	そんなら,内へ	這入ってしまった
奥へ		這入ってしまった
這入ってしまった	おったが,置いてやれといったまま,奥へ	這入ってしまった
主人は		見えた
あまり		聞かぬ
口を		聞かぬ
聞かぬ	あまり,口を	人と
人と	聞かぬ	見えた
見えた	主人は,人と	見えた
下女は		抛り出した
口惜しそうに		抛り出した
吾輩を		抛り出した
台所へ		抛り出した
抛り出した	下女は,口惜しそうに,吾輩を,台所へ	抛り出した
かくして		したのである
吾輩は		したのである
ついに		したのである
この		家を
家を	この	極める
自分の		住家と
住家と	自分の	極める
極める	家を,住家と	事に
事に	極める	したのである
したのである	かくして,吾輩は,ついに,事に	したのである
　		ない
吾輩の		主人は
主人は	吾輩の	ない
滅多に		合せる
吾輩と		合せる
顔を		合せる
合せる	滅多に,吾輩と,顔を	事が
事が	合せる	ない
ない	　,主人は,事が	ない
職業は		教師だそうだ
教師だそうだ	職業は	教師だそうだ
学校から		帰ると
帰ると	学校から	ぎりほとんど出て来る
終日		這入った
書斎に		這入った
這入った	終日,書斎に	ぎりほとんど出て来る
ぎりほとんど出て来る	帰ると,這入った	事が
事が	ぎりほとんど出て来る	ない
ない	事が	ない
家の		ものは
ものは	家の	勉強家だと
大変な		勉強家だと
勉強家だと	ものは,大変な	思っている
思っている	勉強家だと	思っている
当人も		ごとく
勉強家であるかの		ごとく
ごとく	当人も,勉強家であるかの	見せている
見せている	ごとく	見せている
しかし		勤勉家ではない
実際は		勤勉家ではない
うちの		ものが
ものが	うちの	いうような
いうような	ものが	勤勉家ではない
勤勉家ではない	しかし,実際は,いうような	勤勉家ではない
吾輩は		見るが
時々		覗いて
忍び足に		覗いて
彼の		書斎を
書斎を	彼の	覗いて
覗いて	時々,忍び足に,書斎を	見るが
見るが	吾輩は,覗いて	ある
彼は		ある
よく		している
昼寝を		している
している	よく,昼寝を	事が
事が	している	ある
ある	見るが,彼は,事が	ある
時々		読みかけてある
読みかけてある	時々	本の
本の	読みかけてある	上に
上に	本の	たらしている
涎を		たらしている
たらしている	上に,涎を	たらしている
彼は		あらわしている
胃弱で		帯びて
皮膚の		色が
色が	皮膚の	帯びて
淡		黄色を
黄色を	淡	帯びて
帯びて	胃弱で,色が,黄色を	あらわしている
弾力の		ない
ない	弾力の	徴候を
不活溌な		徴候を
徴候を	ない,不活溌な	あらわしている
あらわしている	彼は,帯びて,徴候を	あらわしている
その		癖に
癖に	その	食う
大飯を		食う
食う	癖に,大飯を	食う
大飯を		食った
食った	大飯を	後で
後で	食った	飲む
タカジヤスターゼを		飲む
飲む	後で,タカジヤスターゼを	飲む
飲んだ		後で
後で	飲んだ	ひろげる
書物を		ひろげる
ひろげる	後で,書物を	ひろげる
二三ページ		読むと
読むと	二三ページ	眠くなる
眠くなる	読むと	眠くなる
涎を		垂らす
本の		上へ
上へ	本の	垂らす
垂らす	涎を,上へ	垂らす
これが		繰り返す
彼の		毎夜
毎夜	彼の	繰り返す
繰り返す	これが,毎夜	日課である
日課である	繰り返す	日課である
吾輩は		ある
猫ながら		考える
時々		考える
考える	猫ながら,時々	事が
事が	考える	ある
ある	吾輩は,事が	ある
教師という		ものは
ものは	教師という	ものだ
実に		楽な
楽な	実に	ものだ
ものだ	ものは,楽な	ものだ
人間と		生れたら
生れたら	人間と	なるに
教師と		なるに
なるに	生れたら,教師と	限る
限る	なるに	限る
こんなに		寝ていて
寝ていて	こんなに	勤まる
勤まる	寝ていて	ものなら
